category_cc	join_date	channel	name_cc	subscribers_cc	videos_cc	subscriber_rank_sb
Film and Animation	2017-05-21	UCBJuEqXfXTdcPSbGO9qqn1g	MagnusNation	65100	28	231223.0
Entertainment	2011-12-13	UCkNW9Q1VR_aeZ6uht83jJVQ	Mago Dario Animazion...	60200	48	238538.0
Music	2008-03-17	UCXhkGgooXHDNwgJXmoTSN7g	Mago Merlino	14800	838	707828.0
Entertainment	2014-10-19	UCvZGsuvKlYOGiZTsxwJNS5Q	MAGO TOMÁS	26200	31	424550.0
Comedy	2017-01-15	UCxJWPpPED-J24znoKyKZYjg	Magog of Morskar	29400	158	422966.0
Gaming	2017-05-06	UCNNLaOkE-rcthxNssSHET2A	magoogala gaming	113000	106	148377.0
Film and Animation	2013-12-17	UCISF5OGuAtSLNF24TKTnXag	Magpiepony	736000	304	21120.0
Science & Technology	2007-02-24	UCRmRfTjSmzD1FQn3Iwp2fiQ	Magpul	86600	204	172090.0
Music	2011-05-28	UC1WpidoYChUGcyHAcnALQIg	magrosi65	64900	1497	219166.0
Music	2015-08-11	UCLVAbmicv2u1x7fgO4fLbng	Mags Lyrics	10700	66	884480.0
Music	2011-09-21	UC5tOdNsy1E3RhuZjLLA2cVA	Magun Haokip	10438	171	793000.0
Sports	2010-03-15	UCNTpErdUqTDqWq7YG1nasOQ	MAGURA	11800	353	803733.0
Gaming	2013-01-02	UCOUXsjwRdNQK2YqBNp7zrGQ	Magurk	57000	393	259899.0
Gaming	2013-09-23	UCfqbhEEocD5WFc1y6Xy7Zgg	MagzTV	82388	1161	189660.0
Entertainment	2017-04-27	UCzAPuDD5dviu5ygpC69JvwA	Mah Edats	13966	25	720436.0
Entertainment	2015-04-02	UC4mvN14nN07FKzBRRAngqvA	MAH RULES	141000	92	118488.0
Gaming	2007-04-18	UCK-QfN_fautoBhHm2C4uECQ	Mah-Dry-Bread - Game...	143483	5156	71290.0
Entertainment	2007-07-17	UCCBg60LfTbGQLa60A_IJP0A	mah81164	19700	139	582346.0
Entertainment	2016-08-10	UCgtQ-oP9ulDNf2Ja0-fNB7w	Maha AJ	525000	90	30304.0
Entertainment	2013-09-11	UCSmBlwv-kUPN73xtrclaHsw	Ekdy Villegas	13000	65	
Education	2015-06-29	UCltVEZ6GecWntoZ19FvaWhQ	Ekeeda	513000	6240	32492.0
Gaming	2013-05-08	UCzwCkeBYDKAR7jpk986MYtw	EKEZ	112000	190	148619.0
Gaming	2015-10-27	UCMMdTAQNMhD-KUwAE4ctbZg	EKG	12900	2303	789074.0
Gaming	2015-12-31	UC607Gmoztam4xPxmrHTwljg	EKGaming	14700	62	609307.0
Sports	2007-10-07	UCM9nO2TrusLJafbj7G7YpaA	EKH111	26600	739	415417.0
Sports	2008-02-25	UCFYsO0t3zj0eJ_NcOlowTSA	EkhartYoga	314822	702	52581.0
Entertainment	2016-06-04	UCUINVzfWcJNq8YdxWLLwI8w	Ekhon	40000	127	314708.0
People & Blogs	2016-03-28	UC3f-KdUeMwkC6z7IfRJUjPw	Ekim Kaya	80600	345	199579.0
Gaming	2016-12-12	UCaOU_kQGERe4WLHIOwAcuQg	ekimbo	46200	19	282355.0
Gaming	2014-06-17	UCi4yMuJZmNKo1cr321qNFKg	Ekip Dubi PC	11714	478	
People & Blogs	2014-03-10	UCEzhocfJA78rF9UNNhwyUew	Ekip isi Kerim Gunes...	57700	30	
Music	2006-07-26	UC8gEQRDAB7aGC18a8IcBkuw	ekleroshock	66800	142	209716.0
Music	2012-05-30	UCD9oipuwh20j1u0JcFvLBxA	EKM CO	25672	155	465700.0
Music	2013-10-17	UCpsWoj5nDEimQCQhDpyOnEg	Eko Dydda	19100	39	556530.0
People & Blogs	2016-05-02	UCGBvI8xXfyPWVXYRnvbe7rw	Eko Languages	2560000	473	3836.0
Music	2010-04-20	UCBLZeU9hBJ12LgdexUdOjpA	Ekoh	35046	51	338729.0
Music	2013-09-02	UCG5qvFkE70FXgU1OWI-oo5A	EkRah Entertainment	353281	39	47449.0
Film and Animation	2016-06-02	UCXn5LWTMnsNtH_Ae3FhR5vg	Ekrcoaster	323000	110	51328.0
Science & Technology	2013-09-16	UC0KjIJ7bcyqXgZV8u6IEJiA	Manas Patnaik	181000	450	91871.0
